PAIS,CONTINENTE,population_year,POBLACION,PAIS (grupos)
Papua_New_Guinea,Oceania,2020,8947027,Otros
Paraguay,South America,2020,7132530,Otros
Peru,South America,2020,32971846,Otros
Philippines,Asia,2020,109581085,Otros
Poland,Europe,2020,37846605,Otros
Portugal,Europe,2020,10196707,Otros
Puerto_Rico,North America,2020,2860840,Otros
Qatar,Asia,2020,2881060,Otros
Romania,Europe,2020,19237682,Otros
Russia,Europe,2020,145934460,Brazil & Colombia & India & Russia & US
Rwanda,Africa,2020,12952209,Otros
Saint_Kitts_and_Nevis,North America,2020,53192,Otros
Saint_Lucia,North America,2020,183629,Otros
Saint_Vincent_and_the_Grenadines,North America,2020,110947,Otros
San_Marino,Europe,2020,33938,Otros
Sao_Tome_and_Principe,Africa,2020,219161,Otros
Saudi_Arabia,Asia,2020,34813867,Otros
Senegal,Africa,2020,16743930,Otros
Serbia,Europe,2020,6804596,Otros
Seychelles,Africa,2020,98340,Otros
Sierra_Leone,Africa,2020,7976985,Otros
Singapore,Asia,2020,5850343,Otros
Sint_Maarten,North America,2020,42882,Otros
Slovakia,Europe,2020,5459643,Otros
Slovenia,Europe,2020,2078932,Otros
Solomon_Islands,Oceania,2020,686878,Otros
Somalia,Africa,2020,15893219,Otros
South_Africa,Africa,2020,59308690,Otros
South_Korea,Asia,2020,51269183,Otros
South_Sudan,Africa,2020,11193729,Otros
Spain,Europe,2020,46754783,Otros
Sri_Lanka,Asia,2020,21413250,Otros
Sudan,Africa,2020,43849269,Otros
Suriname,South America,2020,586634,Otros
Sweden,Europe,2020,10099270,Otros
Switzerland,Europe,2020,8654618,Otros
Syria,Asia,2020,17500657,Otros
Taiwan,Asia,2020,23816775,Otros
Tajikistan,Asia,2020,9537642,Otros
Thailand,Asia,2020,69799978,Otros
Timor_Leste,Asia,2020,1318442,Otros
Togo,Africa,2020,8278737,Otros
Trinidad_and_Tobago,North America,2020,1399491,Otros
Tunisia,Africa,2020,11818618,Otros
Turkey,Asia,2020,84339067,Otros
Turks_and_Caicos_islands,North America,2020,38718,Otros
Uganda,Africa,2020,45741000,Otros
Ukraine,Europe,2020,43733759,Otros
United_Arab_Emirates,Asia,2020,9890400,Otros
United_Kingdom,Europe,2020,67886004,Otros
United_Republic_of_Tanzania,Africa,2020,59734213,Otros
United_States_Virgin_Islands,North America,2020,104423,Otros
United States,North America,2020,331002647,Otros
Uruguay,South America,2020,3473727,Otros
Uzbekistan,Asia,2020,33469199,Otros
Vanuatu,Oceania,2020,307150,Otros
Venezuela,South America,2020,28435943,Otros
Vietnam,Asia,2020,97338583,Otros
Wallis_and_Futuna,Oceania,2020,11246,Otros
Western_Sahara,Africa,2020,597330,Otros
Yemen,Asia,2020,29825968,Otros
Zambia,Africa,2020,18383956,Otros
Zimbabwe,Africa,2020,14862927,Otros
Cases_on_an_international_conveyance_Japan,,,,Otros
